ID,NAME,START_DATE,END_DATE,STATUS_ID,PROJECT_ID,USER_ID
1,moderator,2020-12-30,2021-11-08,2,60,770
2,De-engineered,2020-05-28,2021-03-28,1,52,201
3,Proactive,2020-11-30,2021-08-27,1,100,278
4,task-force,2020-04-06,2021-08-02,2,23,724
5,Automated,2020-08-25,2021-08-17,2,31,287
6,methodical,2021-02-12,2021-08-06,1,44,218
7,Self-enabling,2020-07-01,2021-12-20,1,13,781
8,discrete,2020-07-26,2021-08-25,2,89,592
9,local,2020-10-07,2021-11-04,1,55,678
10,ability,2020-09-17,2021-03-06,2,94,152
11,Fundamental,2020-11-30,2022-01-07,1,68,286
12,composite,2020-05-27,2021-09-19,2,99,475
13,reciprocal,2020-09-03,2022-02-07,2,68,825
14,Optional,2020-04-11,2021-11-21,1,88,831
15,parallelism,2020-03-23,2021-11-11,1,97,487
17,"budgetary management",2020-10-20,2021-08-31,1,44,817
18,Devolved,2020-03-18,2021-09-18,2,66,873
19,Right-sized,2020-04-29,2022-01-28,1,35,535
20,discrete,2020-12-18,2022-01-30,1,95,751
21,Enterprise-wide,2020-02-24,2021-07-19,1,18,52
22,human-resource,2020-05-23,2021-05-06,2,47,900
23,cohesive,2021-01-20,2021-06-28,1,77,959
24,uniform,2021-01-21,2022-01-12,1,79,939
25,Cross-platform,2020-05-18,2021-06-15,2,55,646
26,neutral,2020-09-22,2021-04-08,2,42,256
27,Advanced,2020-09-27,2021-07-31,1,93,633
28,emulation,2020-07-17,2021-07-22,1,35,707
29,Stand-alone,2020-02-26,2021-05-18,1,79,511
30,stable,2020-09-20,2021-04-24,2,10,593
31,"leading edge",2020-11-11,2022-02-16,1,98,595
32,website,2020-06-03,2021-03-02,2,75,985
33,"instruction set",2020-10-10,2022-01-23,1,97,972
34,heuristic,2021-01-03,2021-07-22,2,21,969
35,Devolved,2020-04-24,2021-08-19,1,89,530
36,multi-tasking,2020-07-05,2022-02-15,1,88,613
37,Adaptive,2020-11-05,2021-05-17,2,91,403
38,Inverse,2020-05-01,2021-03-26,1,4,111
39,De-engineered,2020-09-17,2021-06-21,2,35,945
40,client-server,2021-01-04,2021-05-24,1,48,8
41,implementation,2020-03-08,2021-12-02,2,94,445
42,attitude-oriented,2020-08-30,2022-01-28,2,63,701
43,Realigned,2020-11-16,2022-02-09,1,72,776
44,Future-proofed,2020-02-23,2022-01-27,2,78,539
45,"local area network",2020-03-04,2021-10-15,2,76,924
46,Vision-oriented,2020-05-08,2021-12-11,1,80,74
47,Sharable,2020-09-12,2021-03-24,1,39,258
48,Open-source,2020-12-05,2021-07-17,1,94,272
49,global,2020-12-06,2021-06-05,1,34,699
50,bandwidth-monitored,2020-07-31,2021-04-28,2,72,977
51,Persevering,2020-08-15,2021-06-30,2,13,902
52,solution,2020-03-09,2021-08-26,1,22,867
53,Distributed,2020-04-26,2021-08-17,2,35,350
54,asynchronous,2020-12-19,2021-11-13,1,76,966
55,hierarchy,2020-12-16,2021-05-24,1,66,323
56,Programmable,2020-09-02,2022-02-13,2,76,623
57,Customer-focused,2021-01-04,2021-08-19,2,67,315
58,foreground,2021-01-08,2021-06-20,2,25,44
59,Digitized,2020-10-08,2021-05-02,1,69,220
60,protocol,2021-01-07,2021-10-31,1,97,122
61,holistic,2020-08-09,2021-11-22,1,90,501
62,neural-net,2020-09-27,2021-04-15,1,32,855
63,user-facing,2021-01-15,2022-02-17,1,5,206
64,moratorium,2020-09-11,2021-09-08,1,100,575
65,conglomeration,2020-07-28,2021-06-02,2,64,709
66,installation,2020-07-15,2021-06-30,1,28,467
67,"local area network",2020-09-23,2021-10-21,2,80,663
68,Focused,2020-10-06,2021-11-13,2,43,427
69,"open architecture",2020-12-29,2021-08-19,2,86,124
70,directional,2020-06-03,2021-07-13,2,10,307
71,archive,2020-06-24,2021-10-31,2,71,85
72,user-facing,2020-09-11,2021-10-21,1,66,615
73,Configurable,2020-09-14,2021-08-08,2,22,298
74,standardization,2020-08-29,2021-12-25,2,29,695
75,extranet,2020-06-26,2021-04-14,1,10,693
76,migration,2020-12-03,2021-11-14,1,70,786
77,"Graphic Interface",2020-05-14,2022-01-01,1,81,395
78,Vision-oriented,2020-12-15,2021-08-07,1,47,355
79,Progressive,2020-04-21,2022-01-15,1,90,737
80,Distributed,2020-08-12,2022-01-04,1,19,662
81,definition,2020-12-17,2021-09-03,1,41,535
82,"internet solution",2021-02-01,2021-10-24,2,88,882
83,Public-key,2020-04-20,2021-09-29,2,29,569
84,Balanced,2020-08-25,2022-01-26,1,52,329
85,project,2020-07-11,2021-09-08,1,93,242
86,implementation,2020-10-12,2021-07-07,1,73,48
87,parallelism,2020-08-24,2021-11-11,2,41,407
88,coherent,2020-10-29,2021-06-05,2,93,723
90,workforce,2020-12-10,2022-01-30,1,80,248
91,initiative,2020-06-25,2021-12-12,1,9,467
92,project,2020-11-19,2022-01-26,1,8,887
93,circuit,2020-06-18,2021-08-27,2,73,331
94,Customizable,2020-08-14,2021-04-10,2,79,908
95,application,2020-06-09,2022-02-09,1,56,482
96,Enterprise-wide,2021-01-29,2021-11-12,1,84,426
97,disintermediate,2020-03-15,2021-05-25,2,60,970
98,moderator,2020-08-17,2022-02-14,2,61,296
99,disintermediate,2020-05-04,2021-03-16,1,33,175
100,Cloned,2020-07-22,2022-01-12,2,96,731
101,fault-tolerant,2021-01-26,2021-12-03,2,47,505
102,task-force,2020-11-08,2021-10-06,2,33,574
103,monitoring,2021-01-04,2021-06-11,1,9,596
104,application,2021-01-14,2022-02-02,2,45,132
105,mobile,2021-01-10,2021-05-18,2,89,882
106,monitoring,2020-08-15,2021-08-02,2,4,25
107,"open architecture",2020-05-13,2021-05-11,2,97,890
108,Multi-layered,2020-03-21,2021-09-05,2,35,724
109,scalable,2021-01-15,2021-04-19,1,57,149
110,Organized,2020-05-08,2021-12-20,2,75,278
111,Vision-oriented,2020-11-12,2021-10-23,2,87,796
112,firmware,2020-07-27,2021-09-01,1,83,420
113,optimizing,2020-09-02,2022-01-31,1,72,844
114,functionalities,2020-08-20,2022-01-08,1,42,879
115,Programmable,2020-07-04,2021-10-28,2,86,656
116,upward-trending,2020-06-16,2021-09-22,2,91,853
117,stable,2020-08-28,2021-06-26,1,30,846
118,asymmetric,2020-03-22,2021-11-23,1,46,489
119,Self-enabling,2020-09-25,2021-10-28,1,68,586
120,Approach,2021-01-28,2021-11-15,2,45,50
121,migration,2020-04-20,2022-02-01,2,48,954
122,dynamic,2020-05-01,2021-04-03,1,77,339
123,neural-net,2020-05-07,2021-10-11,2,26,339
124,Public-key,2020-05-07,2021-07-14,1,37,202
125,explicit,2020-03-25,2021-12-02,2,36,894
126,Team-oriented,2021-01-29,2021-12-25,2,44,881
127,methodology,2020-10-08,2022-01-13,2,31,374
128,architecture,2020-04-02,2021-02-24,1,99,444
130,Vision-oriented,2020-12-13,2021-11-24,1,37,548
131,encoding,2020-04-20,2021-09-27,1,38,307
132,Optimized,2020-11-29,2021-03-16,1,97,349
133,Multi-tiered,2021-02-02,2021-03-20,1,8,799
134,didactic,2020-08-16,2021-04-30,1,6,488
135,fault-tolerant,2021-01-01,2022-01-24,2,95,347
136,Integrated,2020-10-25,2021-03-30,2,57,925
137,explicit,2020-05-01,2021-10-27,1,44,358
138,upward-trending,2021-01-28,2021-08-14,1,15,714
139,empowering,2020-11-05,2022-02-06,2,59,982
140,strategy,2020-05-10,2021-08-26,1,51,900
141,software,2020-12-12,2021-06-24,1,46,386
142,installation,2020-10-07,2021-12-29,1,38,63
143,capacity,2020-07-06,2021-10-27,1,42,623
144,analyzing,2020-05-25,2021-09-09,2,63,431
145,"6th generation",2020-09-24,2021-12-07,2,15,46
146,Universal,2020-06-13,2021-12-25,1,10,701
147,well-modulated,2020-06-24,2021-10-01,2,5,570
148,analyzing,2020-09-23,2021-05-08,1,78,112
149,logistical,2020-06-20,2021-05-07,2,28,107
150,Profit-Focused,2020-06-22,2021-12-30,2,32,335
151,Decentralized,2020-06-17,2021-09-29,1,41,12
152,uniform,2020-11-08,2022-01-10,1,39,778
153,Innovative,2020-09-18,2021-03-01,1,88,780
154,Pre-emptive,2020-11-15,2021-09-17,2,79,854
155,"3rd generation",2020-12-12,2021-07-31,1,65,291
156,"process improvement",2020-08-22,2021-05-21,1,81,630
157,definition,2020-05-13,2021-10-12,1,25,516
158,Function-based,2020-07-17,2021-09-27,2,14,95
159,mobile,2020-12-09,2021-08-09,2,5,954
160,migration,2020-06-25,2021-06-23,1,99,472
161,Phased,2020-09-26,2021-10-06,2,28,550
162,Distributed,2020-12-19,2021-07-17,2,16,612
163,Cross-group,2021-01-07,2022-02-17,2,68,750
164,Customer-focused,2020-09-28,2022-01-22,1,83,989
165,Configurable,2020-05-28,2021-11-20,1,60,710
166,superstructure,2020-12-16,2021-10-22,2,25,8
167,array,2020-05-11,2021-08-29,1,63,120
168,even-keeled,2021-01-26,2021-06-02,1,95,491
169,grid-enabled,2020-12-02,2021-04-23,1,100,17
170,Exclusive,2020-08-28,2021-07-18,1,28,892
171,actuating,2020-08-12,2021-09-08,2,17,470
172,Cross-platform,2020-12-28,2021-12-19,1,20,879
173,hardware,2020-07-18,2021-09-05,2,42,999
174,ability,2020-07-06,2021-09-21,2,29,882
175,Multi-Tiered,2021-01-15,2021-11-19,1,32,968
176,systemic,2020-12-19,2021-11-08,2,14,455
177,Reduced,2020-08-16,2022-01-11,2,47,52
178,grid-enabled,2020-05-10,2021-08-21,2,69,495
179,coherent,2020-11-07,2021-11-14,1,21,263
180,value-added,2020-05-17,2021-09-27,2,4,716
181,"budgetary management",2020-06-03,2021-03-21,1,9,474
182,Ameliorated,2020-08-03,2021-12-04,1,67,565
183,holistic,2020-11-16,2021-10-13,1,34,808
185,Decentralized,2020-10-24,2021-08-17,1,58,109
186,utilisation,2020-07-10,2022-02-10,2,60,819
187,Realigned,2020-04-17,2021-05-05,1,39,419
188,core,2020-12-21,2021-05-22,2,91,232
189,benchmark,2021-01-20,2021-03-01,2,67,44
190,intermediate,2020-08-15,2021-11-06,2,43,621
191,synergy,2020-08-10,2021-06-01,2,30,6
192,"knowledge base",2020-04-19,2021-03-08,1,15,52
193,Multi-lateral,2020-07-08,2021-06-22,2,7,824
194,Open-source,2020-08-09,2021-08-30,2,95,117
195,scalable,2020-05-04,2021-03-16,2,81,254
196,executive,2020-05-26,2022-01-05,1,29,241
197,Multi-layered,2020-12-29,2022-02-16,1,88,875
198,analyzing,2021-01-13,2021-07-13,2,6,780
199,composite,2020-11-13,2021-10-20,1,22,834
200,"zero defect",2021-01-18,2021-12-02,1,92,346
201,Optional,2020-06-21,2021-12-03,1,61,148
202,upward-trending,2020-11-08,2021-07-06,2,44,95
203,software,2021-02-16,2021-03-14,2,38,220
204,Proactive,2021-01-22,2021-06-28,2,25,725
205,object-oriented,2020-07-19,2021-06-15,2,99,227
206,reciprocal,2020-05-28,2021-08-02,1,18,278
207,"6th generation",2020-10-10,2021-09-17,1,23,715
208,eco-centric,2020-10-30,2021-03-08,1,77,7
209,uniform,2021-02-12,2021-11-19,2,34,837
210,forecast,2020-10-14,2022-01-25,2,78,489
211,adapter,2020-06-19,2021-05-09,2,20,81
212,"open architecture",2020-03-16,2021-09-19,2,57,856
213,"pricing structure",2020-03-13,2022-01-10,2,86,439
214,interactive,2020-08-21,2021-09-26,2,91,931
215,stable,2020-10-11,2021-08-18,2,91,714
216,homogeneous,2020-02-19,2021-10-01,2,74,454
217,User-centric,2021-01-23,2021-04-21,1,35,932
218,orchestration,2020-08-27,2021-09-04,1,10,757
219,User-centric,2020-12-25,2022-01-26,2,30,960
220,mission-critical,2020-10-18,2021-06-22,2,22,757
221,installation,2021-01-22,2022-02-07,1,44,280
222,Triple-buffered,2020-08-09,2021-04-30,2,5,566
223,Centralized,2020-05-08,2021-09-08,1,35,856
224,Assimilated,2020-07-13,2021-06-03,1,15,139
225,paradigm,2020-06-01,2021-08-01,1,76,686
226,national,2020-03-19,2021-07-13,1,43,233
227,definition,2020-04-03,2022-01-30,2,42,146
228,hierarchy,2020-07-11,2022-02-04,2,70,815
229,emulation,2020-09-23,2021-06-10,2,75,387
230,"3rd generation",2020-05-13,2021-11-28,2,55,508
231,utilisation,2020-06-13,2021-11-21,2,6,729
232,algorithm,2020-05-07,2021-05-29,1,23,108
233,Digitized,2020-05-07,2021-07-31,2,60,345
234,optimizing,2021-01-21,2021-09-24,2,6,753
235,Quality-focused,2020-04-04,2021-03-03,2,17,772
236,Synergistic,2020-02-29,2021-06-09,2,23,729
237,national,2020-07-13,2021-12-29,1,51,667
238,Front-line,2021-02-17,2021-05-29,2,11,19
239,array,2021-01-03,2021-12-06,1,25,368
240,uniform,2020-09-18,2021-11-16,2,25,254
241,"Graphical User Interface",2020-05-17,2021-03-28,2,10,474
242,bandwidth-monitored,2021-01-12,2021-06-30,1,13,494
243,moratorium,2021-01-24,2022-01-17,1,80,855
244,hardware,2021-01-11,2022-01-01,2,41,362
245,Upgradable,2020-11-04,2021-06-04,2,69,270
246,User-friendly,2020-04-08,2021-07-04,1,30,815
247,coherent,2020-09-08,2021-06-01,2,76,862
248,attitude,2020-07-16,2021-08-28,2,46,205
249,Configurable,2020-07-14,2021-07-30,1,13,436
250,"instruction set",2020-12-13,2021-09-18,2,28,93
251,actuating,2020-12-19,2021-11-14,2,35,369
252,definition,2020-09-15,2021-11-20,2,87,817
253,"Graphical User Interface",2021-02-14,2021-11-05,1,37,293
254,portal,2020-06-06,2021-04-30,1,88,899
255,transitional,2020-06-26,2021-10-03,1,37,212
256,Object-based,2020-03-07,2021-05-11,2,26,126
257,human-resource,2020-03-12,2021-05-31,1,63,537
258,"zero tolerance",2020-08-07,2021-08-11,1,40,701
259,"local area network",2020-09-23,2021-09-09,1,71,333
260,"Graphical User Interface",2020-02-25,2021-12-04,2,100,40
261,groupware,2020-02-22,2021-03-10,1,61,791
262,motivating,2020-06-10,2021-12-31,2,6,528
264,De-engineered,2020-12-01,2021-07-04,1,83,677
265,matrix,2020-02-20,2021-06-19,2,58,60
266,Down-sized,2020-09-02,2021-09-21,1,15,212
267,client-driven,2020-03-21,2021-08-08,1,36,559
268,methodical,2020-03-24,2021-10-07,2,10,695
269,Persistent,2020-05-11,2021-08-09,1,28,876
270,"open architecture",2021-01-24,2021-11-10,2,8,664
271,benchmark,2020-10-10,2021-08-09,2,82,829
272,Advanced,2020-07-11,2021-12-16,1,97,607
273,Networked,2020-06-23,2021-07-04,1,88,143
274,system-worthy,2020-11-13,2021-08-24,2,82,364
275,"6th generation",2020-09-14,2021-04-13,1,100,274
276,actuating,2020-10-11,2021-07-07,2,70,589
277,modular,2020-07-28,2022-01-12,2,75,803
278,capability,2021-01-04,2022-01-08,2,74,205
279,Diverse,2020-06-22,2021-07-14,1,46,286
280,Decentralized,2020-12-04,2021-06-17,1,29,614
281,Reverse-engineered,2021-01-17,2021-06-15,2,93,854
282,Open-architected,2020-08-10,2021-06-03,1,69,387
283,Sharable,2020-12-26,2021-07-12,2,47,345
284,framework,2020-09-08,2021-07-25,1,4,409
285,hub,2020-10-02,2021-06-02,1,19,339
286,Total,2020-07-18,2022-01-08,2,31,546
287,global,2020-11-07,2021-10-31,2,39,653
288,Reverse-engineered,2020-05-26,2021-06-02,1,86,54
289,multi-tasking,2020-04-25,2021-11-17,1,44,132
290,fault-tolerant,2020-11-22,2021-08-12,1,58,957
291,Digitized,2020-12-27,2021-10-22,1,85,519
292,attitude,2020-07-26,2021-04-04,2,20,895
293,Networked,2021-02-15,2021-04-28,1,30,171
294,"instruction set",2020-11-28,2021-04-20,1,17,922
295,archive,2020-05-02,2021-10-01,1,86,237
296,product,2021-01-17,2021-03-23,2,25,324
297,Re-contextualized,2020-06-06,2021-07-15,2,44,605
298,bifurcated,2020-10-03,2021-05-26,2,55,643
299,Reverse-engineered,2020-11-29,2022-01-20,2,88,764
300,"3rd generation",2021-01-03,2021-04-30,2,78,128
301,Synergized,2020-07-23,2021-07-14,2,94,463
302,Future-proofed,2021-01-23,2021-12-06,2,55,779
303,neutral,2021-01-21,2021-12-06,1,39,848
304,"next generation",2020-06-26,2021-04-07,1,13,984
305,Profit-focused,2020-04-12,2021-03-26,1,25,580
306,Customer-focused,2020-09-21,2021-05-15,2,22,665
307,tertiary,2021-01-14,2021-05-27,2,9,307
308,Cloned,2020-09-21,2021-07-20,2,8,880
309,Ameliorated,2020-08-30,2021-09-02,2,63,27
310,"5th generation",2020-12-30,2021-09-01,2,64,550
311,adapter,2020-07-22,2021-06-30,2,45,670
312,access,2020-06-07,2021-05-22,1,19,729
314,upward-trending,2020-12-23,2022-01-02,2,75,376
315,user-facing,2020-04-18,2021-10-30,1,10,413
316,Networked,2020-08-02,2021-10-07,2,70,271
317,Monitored,2020-05-16,2021-11-06,1,60,332
318,core,2020-04-15,2021-09-29,1,92,896
319,transitional,2020-12-12,2021-08-12,1,8,381
320,workforce,2020-05-19,2021-03-19,2,6,489
321,discrete,2020-11-02,2021-10-24,2,15,654
322,Fundamental,2020-07-24,2022-01-20,2,18,445
323,user-facing,2020-10-05,2022-01-14,2,73,390
325,Assimilated,2020-07-09,2021-05-26,1,46,752
326,maximized,2020-12-25,2022-01-22,2,93,190
327,"Graphical User Interface",2021-01-05,2022-02-04,2,72,44
328,"instruction set",2021-01-25,2021-04-08,1,84,627
330,function,2021-01-07,2021-07-01,1,24,112
331,local,2020-05-06,2021-11-08,1,89,50
332,Balanced,2020-05-31,2021-12-14,1,40,88
333,Monitored,2020-11-16,2021-08-01,2,71,665
334,Inverse,2021-01-05,2021-07-16,1,65,288
335,object-oriented,2020-12-22,2022-02-11,1,8,933
336,installation,2020-11-26,2022-01-12,1,94,666
337,Compatible,2020-04-05,2021-12-06,1,59,601
338,analyzer,2020-05-31,2022-01-19,1,87,241
339,Multi-lateral,2020-06-20,2021-07-14,2,49,885
340,matrices,2020-08-18,2021-06-18,2,72,719
341,Stand-alone,2020-11-20,2021-06-25,2,58,877
342,asynchronous,2020-05-19,2021-03-28,2,80,441
343,installation,2020-10-30,2021-06-06,2,58,696
344,human-resource,2020-07-17,2021-12-07,2,11,568
345,impactful,2020-08-07,2021-11-21,2,12,72
346,Expanded,2020-09-21,2021-05-14,2,91,92
348,Versatile,2020-11-09,2022-02-17,1,71,935
349,orchestration,2020-08-04,2021-03-24,2,39,652
350,access,2020-08-30,2021-03-11,1,40,282
351,Seamless,2020-03-16,2021-06-01,2,87,677
352,Progressive,2020-07-17,2021-04-16,1,35,693
353,high-level,2020-05-15,2021-05-16,1,35,448
355,benchmark,2020-09-04,2021-10-23,1,86,491
356,infrastructure,2021-01-04,2021-10-08,1,28,615
357,Vision-oriented,2020-06-11,2021-12-24,1,45,551
358,"zero administration",2020-08-29,2021-06-09,2,26,722
359,service-desk,2020-04-25,2021-04-17,1,99,303
361,Synchronised,2020-10-23,2022-02-16,1,44,152
362,mission-critical,2020-02-19,2021-11-14,2,96,105
363,installation,2020-07-30,2021-02-26,1,37,158
364,migration,2020-05-13,2021-05-30,1,97,452
365,Centralized,2020-03-17,2021-11-12,1,71,688
366,"Graphic Interface",2020-06-22,2021-04-12,2,26,818
367,actuating,2020-07-24,2022-02-10,2,67,15
368,"process improvement",2020-08-30,2021-11-02,2,83,177
369,radical,2020-06-28,2021-06-02,1,25,278
370,Down-sized,2020-03-30,2022-02-11,1,31,327
371,application,2020-05-10,2021-08-31,1,83,927
372,homogeneous,2020-07-18,2022-01-11,2,49,424
373,frame,2020-10-22,2021-12-10,2,60,256
374,capacity,2021-02-16,2021-06-23,1,87,743
375,"system engine",2021-01-27,2021-03-29,1,30,103
376,array,2020-09-17,2022-01-18,2,17,819
377,data-warehouse,2020-09-19,2021-03-31,1,15,787
378,Customer-focused,2021-02-12,2022-01-25,2,68,845
379,definition,2021-02-17,2021-06-21,1,18,503
380,migration,2020-12-19,2021-07-22,2,60,257
381,framework,2020-09-09,2021-08-19,1,32,759
382,Advanced,2021-01-04,2021-08-22,2,52,878
383,Open-source,2020-04-11,2021-11-29,2,42,437
384,Re-contextualized,2020-11-09,2021-10-16,2,100,925
385,"4th generation",2020-11-25,2021-12-03,1,16,578
386,object-oriented,2020-11-06,2022-01-21,2,68,263
387,Upgradable,2020-09-30,2021-06-13,2,11,522
388,model,2020-06-07,2021-08-20,1,6,526
389,fresh-thinking,2020-11-05,2021-07-31,2,69,261
390,Devolved,2020-10-29,2021-12-12,2,13,784
391,Implemented,2020-10-16,2021-03-07,2,59,635
392,circuit,2020-05-11,2021-05-13,2,22,98
393,Implemented,2020-09-27,2021-05-26,2,15,116
394,scalable,2020-06-18,2022-01-05,2,57,273
395,"zero tolerance",2020-08-10,2021-08-05,2,21,388
396,parallelism,2020-11-03,2021-08-25,2,95,229
397,full-range,2020-03-16,2022-01-24,1,84,513
398,secondary,2020-11-01,2022-01-20,1,14,616
399,Inverse,2020-11-01,2022-01-02,1,47,43
400,maximized,2020-07-28,2021-04-10,2,60,392
401,systemic,2021-01-30,2021-08-02,1,79,790
402,Programmable,2020-12-23,2021-10-01,2,26,817
403,real-time,2020-07-07,2022-01-06,2,85,222
404,optimizing,2020-06-25,2021-06-25,2,88,142
405,extranet,2020-08-18,2021-04-08,1,48,975
406,paradigm,2020-08-10,2021-06-10,1,100,332
407,exuding,2020-11-02,2021-12-11,2,21,531
408,"6th generation",2020-08-13,2021-03-06,1,34,199
409,Sharable,2020-12-28,2022-02-13,1,76,585
410,optimizing,2021-02-10,2021-04-22,2,61,838
411,background,2020-05-30,2021-03-14,1,96,672
412,success,2020-08-19,2021-10-24,1,12,572
413,Re-engineered,2020-10-29,2021-10-02,1,29,267
414,Realigned,2020-08-16,2022-02-09,1,31,915
415,Devolved,2020-08-28,2021-05-21,2,69,969
416,Profit-focused,2020-05-29,2021-07-06,1,16,123
417,asynchronous,2020-03-06,2021-05-25,2,36,167
418,full-range,2020-10-03,2021-03-12,1,47,413
419,task-force,2021-01-02,2021-11-09,1,49,432
420,approach,2020-09-29,2022-01-18,2,51,299
421,"local area network",2020-10-31,2021-06-02,2,82,798
422,national,2020-08-22,2021-12-11,1,86,142
423,Organic,2020-12-06,2021-04-27,1,96,233
424,Organic,2020-05-04,2021-07-31,2,43,718
425,Extended,2020-05-29,2022-02-04,2,4,782
426,Re-engineered,2021-01-23,2021-09-25,1,11,870
427,grid-enabled,2020-11-06,2021-10-29,1,73,850
428,project,2020-07-12,2021-12-15,2,51,202
429,fresh-thinking,2020-04-22,2021-08-19,1,59,323
430,high-level,2020-07-26,2021-08-25,1,49,724
431,"process improvement",2020-04-04,2021-09-04,2,37,41
432,tangible,2020-02-26,2021-12-28,2,25,706
433,Cross-platform,2020-02-28,2021-07-21,1,27,454
434,intranet,2021-02-02,2021-12-19,1,82,901
435,interface,2020-09-25,2021-03-26,2,90,842
436,"Face to face",2020-08-04,2021-03-21,2,5,229
437,migration,2021-02-05,2021-06-23,1,28,377
438,paradigm,2021-02-11,2022-01-04,2,46,116
439,Business-focused,2020-06-07,2021-08-01,2,73,151
440,Object-based,2021-02-09,2021-05-24,2,48,109
441,multi-state,2020-05-02,2021-03-16,2,91,982
442,Reverse-engineered,2020-11-16,2022-01-28,1,46,714
443,structure,2020-05-24,2021-06-27,1,67,655
444,"open architecture",2021-02-13,2021-04-09,1,34,740
445,portal,2020-10-10,2021-08-24,2,10,611
446,collaboration,2020-06-15,2022-02-07,2,98,932
448,solution-oriented,2020-08-23,2021-08-31,1,85,217
449,Customizable,2020-07-20,2021-11-10,1,22,413
450,Business-focused,2020-10-04,2021-03-06,2,75,548
451,Innovative,2020-08-11,2021-03-04,2,43,317
452,middleware,2020-05-03,2021-10-21,2,93,76
453,moratorium,2020-06-27,2021-03-09,1,64,337
454,Object-based,2020-06-20,2022-02-03,1,40,288
455,Distributed,2021-02-11,2021-05-13,2,70,260
456,motivating,2020-07-12,2022-02-02,2,78,894
457,Advanced,2020-07-17,2021-05-13,2,44,260
458,website,2020-04-01,2021-07-05,1,89,489
459,benchmark,2020-11-08,2021-08-29,1,11,173
460,Pre-emptive,2020-10-31,2021-08-24,1,80,854
461,static,2020-06-21,2021-10-02,2,19,838
462,bifurcated,2020-05-26,2022-01-01,2,74,298
463,solution-oriented,2021-01-30,2021-05-01,2,34,378
464,Profit-focused,2020-11-11,2021-04-25,1,12,910
465,Ergonomic,2020-08-21,2022-01-15,1,63,775
466,Down-sized,2020-06-12,2021-12-31,1,100,426
467,moratorium,2020-11-11,2021-05-20,2,51,7
468,mobile,2020-05-04,2021-07-03,1,6,315
469,Distributed,2020-07-10,2021-05-24,1,45,952
470,system-worthy,2020-08-18,2021-12-09,2,100,196
471,portal,2020-08-18,2021-11-16,1,96,845
472,multimedia,2020-07-01,2022-02-03,1,82,786
473,Organized,2020-04-01,2021-08-21,2,32,321
474,Reduced,2020-06-18,2021-10-17,2,53,20
475,composite,2020-10-03,2021-07-03,1,56,193
477,Business-focused,2020-06-24,2022-02-05,1,77,697
479,monitoring,2020-11-11,2021-02-27,2,99,534
480,context-sensitive,2020-04-22,2021-06-11,1,88,993
481,context-sensitive,2020-06-05,2021-03-06,2,72,39
482,algorithm,2020-04-01,2022-02-01,2,43,302
483,Object-based,2021-01-15,2021-10-28,1,22,825
484,background,2020-06-21,2021-12-05,2,11,329
485,frame,2020-12-10,2021-05-15,2,46,28
486,homogeneous,2020-09-30,2021-10-27,1,67,569
487,Enterprise-wide,2020-08-09,2021-02-21,1,10,216
488,challenge,2020-09-03,2021-04-05,1,78,11
489,Enhanced,2021-02-16,2021-07-20,2,6,601
490,capacity,2020-08-02,2021-11-11,2,7,342
491,bifurcated,2020-03-27,2021-10-12,2,83,101
492,Multi-layered,2020-12-04,2021-10-18,1,15,606
493,Reactive,2020-11-20,2021-06-18,1,49,573
494,human-resource,2021-01-06,2021-09-04,2,49,555
495,Reduced,2020-08-27,2021-06-28,2,89,972
496,"5th generation",2020-08-04,2021-11-08,1,78,172
